player_id,short_name,value_eur,age,club_name,nationality_name
223668,P. Bourdin,850000,27,Beerschot,France
255538,G. Gohlke,1000000,22,Waldhof Mannheim,Germany
196978,C. Wilson,17500000,29,Newcastle United,England
234399,J. Eggestein,2500000,23,Antwerp,Germany
262004,M. Campagna,140000,17,Vancouver Whitecaps,Canada
236914,Álex Martín,1500000,23,Celta de Vigo,Spain
205139,P. Barrett,475000,27,St Patrick's,Republic of Ireland
247758,I. Gomis,1100000,21,Dunkerque,France
206081,R. Hall-Johnson,475000,26,Wrexham,England
247138,Fran Navarro,6000000,23,Gil Vicente,Spain
265196,T. Schirò,325000,21,Crotone,Italy
230226,Charles de Breito,850000,33,Cuiabá,Brazil
264200,C. Humphreys,200000,17,Ipswich Town,England
264499,H. Singh,200000,21,East Bengal,India
235899,D. Zeefuik,4300000,23,Blackburn Rovers,Netherlands
189730,F. Di Tacchio,450000,32,Ternana,Italy
260646,K. Mina,1300000,27,Guabirá,Ecuador
259674,C. Diakité,2400000,19,Le Havre,France
253038,A. Fouad,275000,19,Al Ittifaq,Saudi Arabia
233366,V. Henry,1300000,27,Sochaux,France
233052,J. Maddox,900000,22,Burton Albion,England
252594,I. Lihadji,3000000,19,Lille,France
204259,S. Arias,15500000,29,Granada,Colombia
222379,F. Arce,1200000,24,Juárez,United States
220421,H. Kamara,5000000,28,Watford,Côte d'Ivoire
161938,M. Boselli,2600000,36,Estudiantes,Argentina
208929,S. Sharahili,230000,31,Al Faisaly,Saudi Arabia
235942,F. Cassata,1000000,24,Ternana,Italy
244394,Clemente,1800000,22,Real Sociedad II,Spain
224221,J. Andersen,12000000,26,Crystal Palace,Denmark
233245,S. McLoughlin,800000,24,Morecambe,Republic of Ireland
267757,E. Ali Said,475000,19,Dijon,Comoros
223137,F. Bonazzoli,4300000,25,Salernitana,Italy
263956,Lucas Esteves,750000,22,Colorado Rapids,Brazil
260340,Svensson,1400000,19,Espanyol,Spain
233050,M. Smith,1900000,21,Milton Keynes Dons,Wales
230486,Patricio Alagoano,1700000,26,Fortaleza,Brazil
253289,G. Corujo,2800000,25,Charlotte,Uruguay
234624,B. Dibassy,1200000,32,Minnesota United,Mali
263543,A. Deu,110000,20,Western United,South Sudan
176944,M. Fellaini,3500000,33,Shandong Luneng,Belgium
